Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:14:59.491	899.491	00:15:00.499	900.499	00:00:01.008	1.008	2018-07-26_Omaiyo_2_060	ǹdòqʷɛ́ːdʒ(à)	ǹdóqwét(a)	ndoqweyt	head
00:15:01.239	901.239	00:15:02.185	902.185	00:00:00.946	0.946	2018-07-26_Omaiyo_2_061	ǹdòqʷɛ́ːdʒ(à)	ǹdóqwét(a)	ndoqweyt	head
00:15:03.480	903.48	00:15:04.529	904.529	00:00:01.049	1.049	2018-07-26_Omaiyo_2_062	ǹdòqʷɛ́ːdʒ(à)	ǹdóqwét(a)	ndoqweyt	head
00:15:08.475	908.475	00:15:09.565	909.565	00:00:01.090	1.09	2018-07-26_Omaiyo_2_063	ǹdòqʷɛ́ːdʒ(à)	ǹdóqwét(a)	ndoqweyt	head
00:15:50.094	950.094	00:15:51.205	951.205	00:00:01.111	1.111	2018-07-26_Omaiyo_2_064	kàrákàŋgà	karakanga	karaganqa	ears
00:15:52.644	952.644	00:15:53.837	953.837	00:00:01.193	1.193	2018-07-26_Omaiyo_2_065	kàrákàŋgà	karakanga	karaganqa	ears
00:15:58.897	958.897	00:15:59.822	959.822	00:00:00.925	0.925	2018-07-26_Omaiyo_2_066	kàrákàŋgà	karakanga	karaganqa	ears
00:16:11.255	971.255	00:16:12.324	972.324	00:00:01.069	1.069	2018-07-26_Omaiyo_2_067	kàrákàŋgà	karakanga	karaganqa	ears
00:16:28.898	988.898	00:16:30.008	990.008	00:00:01.110	1.11	2018-07-26_Omaiyo_2_068	kàrákàŋgà	karakanga	karaganqa	ears
00:16:51.378	1011.378	00:16:52.407	1012.407	00:00:01.029	1.029	2018-07-26_Omaiyo_2_069	kàrákàŋgà	karakanga	karaganqa	ears
00:16:56.197	1016.197	00:16:56.920	1016.92	00:00:00.723	0.723	2018-07-26_Omaiyo_2_070	kàrákàŋgà	karakanga	karaganqa	ears
00:17:19.281	1039.281	00:17:20.062	1040.062	00:00:00.781	0.781	2018-07-26_Omaiyo_2_071	húdrà	qûdrà	qodra	mouth
00:17:22.409	1042.409	00:17:23.231	1043.231	00:00:00.822	0.822	2018-07-26_Omaiyo_2_072	húdrà	qûdrà	qodra	mouth
00:17:32.217	1052.217	00:17:32.957	1052.957	00:00:00.740	0.74	2018-07-26_Omaiyo_2_073	húdrà	qûdrà	qodra	mouth
00:17:39.269	1059.269	00:17:39.886	1059.886	00:00:00.617	0.617	2018-07-26_Omaiyo_2_074	húdrà	qûdrà	qodra	mouth
00:17:39.968	1059.968	00:17:40.585	1060.585	00:00:00.617	0.617	2018-07-26_Omaiyo_2_075	húdrà	qûdrà	qodra	mouth
00:19:25.087	1165.087	00:19:26.279	1166.279	00:00:01.192	1.192	2018-07-26_Omaiyo_2_076	ŋ̀gàʃáúʃà(wò)	ǹqàʃáúʃàù	ngashawishawo	louse/lice
00:19:26.896	1166.896	00:19:28.212	1168.212	00:00:01.316	1.316	2018-07-26_Omaiyo_2_077	ŋ̀gàʃáúʃà(wò)	ǹqàʃáúʃàù	ngashawishawo	louse/lice
00:19:29.610	1169.61	00:19:30.865	1170.865	00:00:01.255	1.255	2018-07-26_Omaiyo_2_078	ŋ̀gàʃáúʃà(wò)	ǹqàʃáúʃàù	ngashawishawo	louse/lice
00:19:49.266	1189.266	00:19:50.643	1190.643	00:00:01.377	1.377	2018-07-26_Omaiyo_2_079	ŋ̀gàʃáúʃà(wò)	ǹqàʃáúʃàù	ngashawishawo	louse/lice
00:19:50.767	1190.767	00:19:51.877	1191.877	00:00:01.110	1.11	2018-07-26_Omaiyo_2_080	ŋ̀gàʃáúʃà(wò)	ǹqàʃáúʃàù	ngashawishawo	louse/lice
00:20:19.076	1219.076	00:20:20.084	1220.084	00:00:01.008	1.008	2018-07-26_Omaiyo_2_081	gìrábɔ́kʷʰ	gìróbòq	giraboq	moon
00:20:26.602	1226.602	00:20:27.507	1227.507	00:00:00.905	0.905	2018-07-26_Omaiyo_2_082	gìrábɔ́kʷʰ	gìróbòq	giraboq	moon
00:20:34.498	1234.498	00:20:35.341	1235.341	00:00:00.843	0.843	2018-07-26_Omaiyo_2_083	gìrábɔ́kʷʰ	gìróbòq	giraboq	moon
00:20:44.157	1244.157	00:20:44.938	1244.938	00:00:00.781	0.781	2018-07-26_Omaiyo_2_084	gìrábɔ́kʷʰ	gìróbòq	giraboq	moon
00:20:49.894	1249.894	00:20:51.045	1251.045	00:00:01.151	1.151	2018-07-26_Omaiyo_2_085	gìrábɔ́kʷʰ	gìróbòq	giraboq	moon
00:21:32.115	1292.115	00:21:33.328	1293.328	00:00:01.213	1.213	2018-07-26_Omaiyo_2_086	ŋ̀gàìgárɛ́gɛ̀dʒ	ǹgàgárákèdʒ	ngeregej	moons
00:21:37.029	1297.029	00:21:38.263	1298.263	00:00:01.234	1.234	2018-07-26_Omaiyo_2_087	ŋ̀gàìgárɛ́gɛ̀dʒ	ǹgàgárákèdʒ	ngeregej	moons
