English Translation,Reliability Rating,"Richard Griscom (2018, female speaker)","Yonah Ndege (2018, female speaker)","Richard Griscom (2018, male speakers)","Yonah Ndege (2018, male speakers)",Daudi Peterson (2018),Paulo Parana (2018),Alina (2018),Olewanga (2017),Daudi (2014),Dismas (2014),Bunga (2014),Sands (2014),Daudi (2012)
back ,2,,,,,tanut,,taanutu,,ta'no,taano,taano,[ˈndaːno],
go back imp.,1,,,,,kashiria,kahiria,kashiriya,,,,,,
go ahead imp.,1,,,,,mbirita,,mbirita,,,,,,
meat,2,tààmú,tamu,,,kitaamu,kitam,kitamu,,,,,,
"meat, top neck meat",2,,,,,mapianda,,mapianda,,mapianda,mapianda,marianda,"[mapiˈanda, maβi'anda]  ",
meat,1,,,,,,,,,,,,,osunguta
fat,1,kétámù,ketamu,,,,,,,,,,,
fat,1,,,,,,,,,ndarikoi,endarikoi,endarikwai,[ndarʊkʊi],
fat,1,,,,,,,,,,,,,ohayandarukoi
forearm,1,,,,,takuleta,,takulyeta,,,,,,
upper arm/shoulder,1,,,,,pirangaita,,pirangeita,,,,,,
"hip/thigh, upper leg",1,,,,,pesta,,pesta,,,,,,
calf/lower leg,1,,,,,lorisheeta,,lorisuiata,,,,,,
bone,2,ǹgárárùm(i),ngarurumi,,,ngarurumi,igarurum,ngarurumi,,,,,,
bone,1,,,,,,,,,moge,mooge,moge,[mɔːɡɪ],
we,1,háíngà,hainga,,,,,,,,,,,
we,1,,,háútà,,,,,,,,,,
we,1,,,,,,,,,mainyake,mainyake,mayinyaki,[ma.i.ɲakɪ],
I,1,máìnàgì,mainyage,,,,,,,,,,,
I,1,,,kùháíta,,,,,,,,,,
I,1,,,,,,,,,oyanda pa,oyandapa,hoyandaba,[ojandaɣ(ʷ)a],
he,1,,,,,,,,,enya,einya,enya,,
you (SG),1,háùndà,awunda,,,,,,,,,,,
you (SG),1,,,ǹdàháŋútú ŋ́wèkà,,,,,,,,,,
you (SG),1,,,,,,,,,hopande,opandei,hobandei,[oβande],
you (PL),1,,,,,,,,,ma'engake,maengake,maengaki,[ma.eŋɡakɪ],
eye,2,hǒntà,hong'uta,,,,,,,honda,o'nda,honda,[ hoːŋta],
eyes,1,hǒntà,qonta,,,,,,,,,,,
name,1,mwáíndà,mwayda,,,,,,,,,,,
name,1,,,ǹdàhé ròrìyángá,,,,,,,,,,
name,1,,,,,,,,,horarika,orarika,horarika,[hɔɾɔɾɪkʰa],
die.IMP,1,háúrà,hawora,,,,,,,,,,,
who (see “person”),1,óngékì,ongege,,,,,,,,,,,
who (see “person”),2,,,,,,,,,,,,,
yellow,1,ǹgárímó,ngarimo,,,,,,,,,,,
yellow,1,,,àrìmàndá,,,,,,,,,,
yellow,1,,,,,,,,,enoka,enoka,enoka,[hɛnoɣa],
what,1,hàíndájágè,aydayage,,,,,,,,,,,
what,1,,,,,,,,,kwiyano,kuyiaano,kwiyano,[kwijanʊ],
this,1,káíɲà,kainya,,,,,,,,,,,
this,1,,,qosa,,,,,,,,,,
this,1,,,,,,,,,kweesh,keweesh,gweshi,[kwɛ.ɛʃ],
not/no,1,kìríràndà,giriranda,,,,,,,,,,,
not/no,1,,,,,,,,,ndahoha'ina,ndashohoena,ndahohwaena,[ndahoho.a.ena],
horn,1,ǹgíʃímà,ngishima,,,,,,,,,,,
eat,1,àjɲàrtá,anyarta,,,,,,,,,,,
eat,1,,,,,,,,,kaitwa,kaitwa,kaitwa,[ka.i.tʰwa],
ears,1,karakanga,karaganqa,,,,,,,,,,,
ears,1,,,,,,,,,koning'aha,koning'aha,goneng'aha,[kʊnɪŋaha],
mouth,2,qûdrà,qodra,,,,,,,ota,ota,ota,[ˈʊːta],
louse/lice,1,ǹqàʃáúʃàù,ngashawishawo,,,,,,,,,,,
moon,1,gìróbòq,giraboq,,,,,,,,,,,
moon,2,,,,,,,,,ohoa'halamu,ooha alamu,hohowa'aram,"[oho.a.halamu, oho.a.ʔalamu̥]",ohoa’alamu
moons,1,ǹgàgárákèdʒ,ngeregej,,,,,,,,,,,
nose(s),2,kìmèrúndà,kimedunda,,,,,,,metunda,metunda,metunda,[metʰunda],
hear,1,ǹgáíʃágà,ngashaga,,,,,,,,,,,
seed,1,ʃàùrágè,shaudage,,,,,,,,,,,
heart(s),1,ǹgàìʃíjè,ngayshiye,,,,,,,,,,,
heart(s),1,,,,,,,,,maipok,maepok,maiboko,"[ma.i.bɔk, b, ɓ or bʕ] ",
"nail(s), claw(s)",1,kàjémbéjà,kayembeya,,,,,,,,,,,
star,1,kùnyúrtá,kunyirta,,,,,,,,,,,
star,1,,,,,,,,,morora,morora,,[moɾoɾa],
liver,1,gínánà,nginana,,,,,,,,,,,
say,1,ǹgàùrágè,ngaudage,,,,,,,,,,,
say,1,,,,,,,,,homuhi,omahii,homahii,[hoːmahi],
egg(s),1,gìtàʃá,getasha,,,,,,,,,,,
egg(s),1,,,,,,,,,orketumbe,orketumbe,engotumbe,"[horketʰumbe, hʊrketʰumbe]",
tooth/teeth,1,ǹgàùnóógì,ngaunogi,,,,,,,,,,,
tooth/teeth,1,,,,,,,,,haruwata,arwata,aruwata,[haɾu.ata],
night,1,gìtérù,giteru,,,,,,,,,,,
night,1,,,,,,,,,ong'eresha,ong'eresha,ong'eresha,[hoŋeɾeːʃa],
night,1,,,,,,,,,,,,,kon’oma
all,1,ǹgàwàstʃó,ngawasha,,,,,,,,,,,
all,1,,,,,,,,,ndahomaata,ndaho'omata,ndahomata,[ndahoːmata],
fly(n),1,kàbwóbwó,kabobo,,,,,,,,,,,
green,1,mágúnírtà,mamunyirta,,,,,,,,,,,
new,1,gìmárdádì,ngimardadi,,,,,,,,,,,
that,1,ǹgáúrágè,ngaordge,,,,,,,,,,,
that,1,,,,,,,,,ona,ohona,,[ɔ.ˈɔna],
dog,1,gámédʒò,ngamejo,,,,,,,,,,,
dog,1,,,,,,,,,,,,,omai
hair,1,hándà,handa,,,,,,,,,,,
hair,1,,,,,,,,,maisamba,maeshamba,maesamba,[ma.esamba,
swim,1,qɔɲɛrɛʃ,qong'eresh,,,,,,,,,,,
red,1,qwalaba,qowlaba,,,,,,,,,,,
fruit,1,qàlòqòdá,ngarong'ota,,,,,,,,,,,
fruit,1,,,,,,,,,ngaileshi,ngaileeshi,ngaireshi,[ŋɡaleːʃi],
honey,1,gìtàmó,gitramo,,,,,,,,,,,
honey,1,,,,,,,,,,,,,uhaitamilang’
bird,1,móògè,moge,,,,,,,,,,,
bird small,2,,,,,,,,,ketamarambero,ketamarambero,,[kɪˈtamɛɾambɛrat],kita marumberut
bird large,2,,,,,,,,kerindeti,sukerimberi,sukerimberi,,[sakɛːɾindɛɾi],
tree,1,,,,,,,,,moloita,moloita,moroita,[mɔlɔ.itʰa],
tree,1,,,,,,,,,,,,,oljani
baobab,1,kìrìdóɲì,kirindoni,,,,,,,,,,,
bow,1,ǹgáʃíjè,ngashiye,,,,,,,,,,,
bow,1,,,,,,,,,,,,,ohotea
bow,1,,,,,,,,alwana,,,,,
arrow,2,mágìtʃ,magithi,,,,,,amakit,,,,,
arrow,1,,,,,,,,,,,,,kushaita
arrow without metal,1,,,,,,,,engosos,,,,,
machete,1,ǹgíríríjándà,ngiririyanda,,,,,,,,,,,
bead(s),1,ǹgínárè,nginare,,,,,,,,,,,
bangle,1,kìtʃùmá,gichima,,,,,,,,,,,
shoes,1,gèndàbá,gendabe,,,,,,,,,,,
forest,1,àʃúríjè,ashuriye,,,,,,,,,,,
forest,1,,,,,,,,,orkaka,orkaka,orokaka,[hɔrkaka],
mountain,,lébòò,leboo,,,,,,,,,,,
mountain,,,,,,,,,,oroveta,oropeta,horogata,[horʊɣata].  ,
river,3,pèlétá,peleta,,,,,,,helata,ilata,,[helaːta],ilata
cave,1,ɲàrtá,nyarta,,,,,,,,,,,
grass,1,gàléyò,ngaleyo,,,,,,,,,,,
grass,1,,,,,,,,,,,,,ilkujita
flowers,1,ràràjtá,rarayta,,,,,,,,,,,
root,1,ǹgáléŋò,ngalong'o,,,,,,,,,,,
root,1,,,,,,,,,harioo,arioho,airiyo,[aɾijoː],
clouds,1,kúɲírtà,ngunyirta,,,,,,,,,,,
clouds,1,,,,,,,,,ketajewu,kitajewo,geradewo,[keladewʊ],
rain,1,kájʃóngà,ngayshonga,,,,,,,,,,,
rain,1,,,,,,,,,,,,,uhwaa
wind,2,ǹqàrándà,gaqanda,,,,,,,,,,,ngaganda
wind,1,,,,,,,,,nyorota,nyorota,nyorota,[ɲoɾota],
dust,1,ʃàwút,shaut,,,,,,,,,,,
mud,1,gìdòrú,gidoru,,,,,,,,,,,
"tree, firewood",1,"sàwárgà “firewood”, sàwárgà “tree”","sawarga “firewood”, sawarge “tree”",,,,,,,,,,,
fetch s.th.,1,hàùrágè,haworage,,,,,,,,,,,
name of the tribe,1,nagweri,naygweri,,,,,,,,,,,
here,1,,,,,,,,,one,one,,,
there,1,,,,,,,,,ona,onona,,,
where,1,,,,,,,,,osesa,osesa,osesa,[ɔsɪsa],
when,1,,,,,,,,,kaibaka,kaebaka,kaebaga,[kʰa(j)eɓakʰa],
how,1,,,,,,,,,ko'eraki,koeraki,kwetaki,"[koːɾakʰi, kuerakʰi]",
many,1,,,,,,,,,akanyaga,akanyaga,aganyaga,[aɡaˈɲaɠa]  ,
some,1,,,,,,,,,oriakee,oriakee,olyakee,[ʊɾijakeː],
other,1,,,,,,,,,kunyar ta,kurnyata,kunyata,[kuˈɲarta],
long,1,,,,,,,,,ndashokula,ndahokolaa,ndahekola,[ndaʃokolaː],
wide,1,,,,,,,,,maiguti,maigutie,maigutie,[ma(j)iɡutʰi],
thick,1,,,,,,,,,makenet,makenet,makeneti,[makenɛti̥],
heavy,1,,,,,,,,,kaiyaka,kayaka,kayaka,[hajaka or χajaka],
